,0
563.5661652221,563.5661652221
624.8954188848,624.8954188848
564.3927890911,564.3927890911
454.2414089165,454.2414089165
750.363213666,750.363213666
572.3744377437,572.3744377437
699.4199691337,699.4199691337
636.8049106402,636.8049106402
546.1033626048,546.1033626048
675.8839752828,675.8839752828
590.3761351067,590.3761351067
400.2097030681,400.2097030681
601.27918197,601.27918197
556.2645354618,556.2645354618
656.7289591008,656.7289591008
807.0837065448,807.0837065448
700.206537904,700.206537904
583.5685172711,583.5685172711
570.734676037,570.734676037
721.6423753885,721.6423753885
677.632027963,677.632027963
811.2937509111,811.2937509111
749.4451717195,749.4451717195
566.453270195,566.453270195
720.9452492471,720.9452492471
863.8741791758,863.8741791758
586.030078143,586.030078143
574.4764193811,574.4764193811
587.0720619953,587.0720619953
536.7774932019,536.7774932019
732.7051114233,732.7051114233
583.9930868626,583.9930868626
508.2996605426,508.2996605426
568.5145434605,568.5145434605
840.039830309,840.039830309
794.7586948374,794.7586948374
575.3094519271,575.3094519271
564.7300326272,564.7300326272
579.4152271355,579.4152271355
571.0164882514,571.0164882514
602.5338647854,602.5338647854
553.877683731,553.877683731
564.8814743918,564.8814743918
591.5916791535,591.5916791535
566.7117017378,566.7117017378
843.6715672872,843.6715672872
566.4907900926,566.4907900926
638.3746025629,638.3746025629
574.8560481132,574.8560481132
547.9299059457,547.9299059457
739.1225057669,739.1225057669
549.7962176946,549.7962176946
631.8538780826,631.8538780826
573.3699814952,573.3699814952
799.6990669718,799.6990669718
715.3885983028,715.3885983028
666.9509107598,666.9509107598
721.1688015301,721.1688015301
548.1820332055,548.1820332055
546.5455331818,546.5455331818
663.6711675701,663.6711675701
785.2711382981,785.2711382981
719.3370766015,719.3370766015
571.7465888743,571.7465888743
562.3626772437,562.3626772437
633.7129619731,633.7129619731
529.8688026946,529.8688026946
556.5725193273,556.5725193273
604.4544015464,604.4544015464
550.2382979434,550.2382979434
580.2741528961,580.2741528961
547.6865102657,547.6865102657
725.5174978572,725.5174978572
715.0420747333,715.0420747333
758.2379028901,758.2379028901
659.4573977265,659.4573977265
663.1122771053,663.1122771053
619.4210444106,619.4210444106
202.1205334871,202.1205334871
747.9724088298,747.9724088298
544.2663255757,544.2663255757
826.4805782399,826.4805782399
264.1045164793,264.1045164793
398.1372306563,398.1372306563
276.1321683919,276.1321683919
297.0895936939,297.0895936939
306.0759963629,306.0759963629
222.0674848266,222.0674848266
309.079626194,309.079626194
468.0654687685,468.0654687685
207.3617415684,207.3617415684
781.108776311,781.108776311
331.5545688242,331.5545688242
250.0624054083,250.0624054083
267.0967973522,267.0967973522
330.1597441897,330.1597441897
555.2714420222,555.2714420222
401.3504904426,401.3504904426
314.1857974129,314.1857974129
424.1014623909,424.1014623909
308.1307178122,308.1307178122
212.091008594,212.091008594
284.271563201,284.271563201
782.1060219877,782.1060219877
363.0580078456,363.0580078456
324.1056544195,324.1056544195
296.6081229487,296.6081229487
378.1808545165,378.1808545165
201.1727696159,201.1727696159
389.000432724,389.000432724
362.2069309713,362.2069309713
312.2664548516,312.2664548516
338.1770090311,338.1770090311
236.2140711916,236.2140711916
203.115666118,203.115666118
427.366156858,427.366156858
429.3818086311,429.3818086311
378.1573003609,378.1573003609
259.995789085,259.995789085
255.2926555994,255.2926555994
555.2721256396,555.2721256396
270.2559171241,270.2559171241
646.451475395,646.451475395
624.0840032687,624.0840032687
453.1893303082,453.1893303082
307.0853216805,307.0853216805
264.0158642118,264.0158642118
556.2663792663,556.2663792663
306.5776608614,306.5776608614
440.096385563,440.096385563
546.101886626,546.101886626
340.2016151107,340.2016151107
555.2660437654,555.2660437654
444.8369953847,444.8369953847
624.0909009021,624.0909009021
936.1311096856,936.1311096856
398.350832604,398.350832604
259.3713738296,259.3713738296
334.0566250119,334.0566250119
556.2746949441,556.2746949441
555.26648771,555.26648771
493.1017691953,493.1017691953
213.9992655181,213.9992655181
627.0837351048,627.0837351048
225.1727839006,225.1727839006
328.1497783866,328.1497783866
307.0819476473,307.0819476473
410.3912416732,410.3912416732
555.2652562816,555.2652562816
557.2735023567,557.2735023567
780.111783905,780.111783905
624.0830468903,624.0830468903
231.1332103423,231.1332103423
375.0810625637,375.0810625637
552.2699205176,552.2699205176
258.1216197999,258.1216197999
308.0832341648,308.0832341648
332.056241341,332.056241341
625.0923602387,625.0923602387
207.694954647,207.694954647
342.1654529271,342.1654529271
539.1355818544,539.1355818544
287.246042436,287.246042436
364.1052629514,364.1052629514
403.2083427423,403.2083427423
367.9977576145,367.9977576145
523.2909970219,523.2909970219
220.369559365,220.369559365
489.1693265136,489.1693265136
384.1619881487,384.1619881487
307.0849666203,307.0849666203
255.2925491214,255.2925491214
469.065007834,469.065007834
400.1568946137,400.1568946137
624.0918505702,624.0918505702
406.1634511861,406.1634511861
277.5652560509,277.5652560509
266.1003336719,266.1003336719
307.0859774404,307.0859774404
345.0307414349,345.0307414349
207.6962167146,207.6962167146
308.0808683623,308.0808683623
384.1215888129,384.1215888129
297.1706496983,297.1706496983
216.0974284751,216.0974284751
304.0219946729,304.0219946729
472.1225838025,472.1225838025
555.2642559242,555.2642559242
219.9894672389,219.9894672389
626.086885189,626.086885189
488.1073211685,488.1073211685
281.1966461759,281.1966461759
271.2511819056,271.2511819056
307.0814617985,307.0814617985
289.1274004049,289.1274004049
439.269894132,439.269894132
488.2216929566,488.2216929566
339.0736494746,339.0736494746
382.2031878213,382.2031878213
537.1199274949,537.1199274949
315.9872400192,315.9872400192
275.1481454476,275.1481454476
340.2977434861,340.2977434861
249.0790565745,249.0790565745
259.045740368,259.045740368
367.2125092496,367.2125092496
780.1050277217,780.1050277217
307.0738924746,307.0738924746
297.1098091595,297.1098091595
462.1746651442,462.1746651442
241.9852538173,241.9852538173
208.02739415,208.02739415
307.9409664145,307.9409664145
309.2304096118,309.2304096118
426.0686399419,426.0686399419
351.1100422544,351.1100422544
307.0820297766,307.0820297766
426.3821566859,426.3821566859
286.0818764517,286.0818764517
359.0861571251,359.0861571251
430.8213414451,430.8213414451
335.0406321303,335.0406321303
469.2440728133,469.2440728133
254.0901804953,254.0901804953
361.1614213791,361.1614213791
298.0818853463,298.0818853463
271.9610173948,271.9610173948
251.9665064211,251.9665064211
341.6127268886,341.6127268886
201.1749731669,201.1749731669
208.1464085422,208.1464085422
290.1882075289,290.1882075289
517.2168202965,517.2168202965
443.0076506103,443.0076506103
299.282447629,299.282447629
340.1926620781,340.1926620781
555.1304687085,555.1304687085
268.2401689019,268.2401689019
425.2542284629,425.2542284629
364.0222656572,364.0222656572
298.2871899727,298.2871899727
281.1967881815,281.1967881815
391.1123717584,391.1123717584
624.0811270606,624.0811270606
556.2701095812,556.2701095812
410.0494358428,410.0494358428
244.0182672138,244.0182672138
225.95561324,225.95561324
368.3766615143,368.3766615143
241.9850481991,241.9850481991
225.9554358857,225.9554358857
442.0756423627,442.0756423627
305.068161098,305.068161098
333.2151434908,333.2151434908
367.4178037065,367.4178037065
663.1110682139,663.1110682139
311.96715964,311.96715964
283.0916942026,283.0916942026
203.1268992141,203.1268992141
477.3143781092,477.3143781092
278.0314822666,278.0314822666
341.0552494878,341.0552494878
301.1889383812,301.1889383812
282.1079547306,282.1079547306
481.3167838301,481.3167838301
355.3450176173,355.3450176173
322.1994889993,322.1994889993
337.0943779384,337.0943779384
344.1237518834,344.1237518834
507.3325081806,507.3325081806
414.2294235339,414.2294235339
240.208834892,240.208834892
354.1474149059,354.1474149059
206.9591108939,206.9591108939
325.2253230707,325.2253230707
334.0665297102,334.0665297102
