,0
98.59595645229093,98.59595645229093
98.59606645229094,98.59606645229094
98.59616645229094,98.59616645229094
98.59726645229094,98.59726645229094
98.59748145229094,98.59748145229094
98.59915645229094,98.59915645229094
99.35620645229093,99.35620645229093
99.35805645229094,99.35805645229094
99.35849145229093,99.35849145229093
99.35946645229095,99.35946645229095
99.36728145229094,99.36728145229094
99.36740645229094,99.36740645229094
99.36751645229094,99.36751645229094
99.58073645229094,99.58073645229094
99.58084395229093,99.58084395229093
99.58095645229093,99.58095645229093
99.58109895229094,99.58109895229094
99.58132645229094,99.58132645229094
99.58144145229093,99.58144145229093
99.58224645229093,99.58224645229093
99.58248395229094,99.58248395229094
99.58260645229095,99.58260645229095
99.58277645229094,99.58277645229094
99.58308145229094,99.58308145229094
99.58340145229094,99.58340145229094
99.58350645229093,99.58350645229093
99.58369395229093,99.58369395229093
99.58394645229095,99.58394645229095
99.58407645229094,99.58407645229094
99.58420645229094,99.58420645229094
99.58441145229094,99.58441145229094
99.58461645229094,99.58461645229094
99.58520145229093,99.58520145229093
99.58545645229094,99.58545645229094
99.58626895229094,99.58626895229094
99.58649645229093,99.58649645229093
99.93092895229094,99.93092895229094
100.29558645229093,100.29558645229093
100.29607145229093,100.29607145229093
100.29643395229094,100.29643395229094
100.29654145229094,100.29654145229094
100.29682645229094,100.29682645229094
100.29697645229093,100.29697645229093
100.29763645229094,100.29763645229094
100.29866645229095,100.29866645229095
100.66554145229094,100.66554145229094
100.66569645229094,100.66569645229094
100.66606645229093,100.66606645229093
100.66618645229094,100.66618645229094
100.66648645229094,100.66648645229094
100.66667645229094,100.66667645229094
100.66704645229093,100.66704645229093
100.66719645229094,100.66719645229094
100.66762645229093,100.66762645229093
100.66843645229093,100.66843645229093
100.66859645229094,100.66859645229094
101.04723145229093,101.04723145229093
101.42489645229094,101.42489645229094
101.42504645229093,101.42504645229093
101.42548645229093,101.42548645229093
101.42583145229094,101.42583145229094
101.42595395229094,101.42595395229094
101.42627645229094,101.42627645229094
101.42642145229094,101.42642145229094
101.42654145229093,101.42654145229093
101.42669645229094,101.42669645229094
101.42720645229093,101.42720645229093
101.42817645229094,101.42817645229094
101.42954145229095,101.42954145229095
101.81485145229094,101.81485145229094
102.20682145229094,102.20682145229094
102.20733645229093,102.20733645229093
102.20753645229094,102.20753645229094
102.20828645229093,102.20828645229093
102.20875145229093,102.20875145229093
102.20890645229093,102.20890645229093
102.21070645229094,102.21070645229094
102.51276645229093,102.51276645229093
102.69651145229093,102.69651145229093
102.69847645229093,102.69847645229093
102.69990645229093,102.69990645229093
102.75398645229093,102.75398645229093
102.75577645229095,102.75577645229095
102.75736645229094,102.75736645229094
102.75791645229094,102.75791645229094
102.75876145229094,102.75876145229094
103.24476645229093,103.24476645229093
104.06915145229094,104.06915145229094
104.67116145229095,104.67116145229095
104.68784645229094,104.68784645229094
104.68990645229094,104.68990645229094
104.69080645229094,104.69080645229094
104.69146895229095,104.69146895229095
104.73039145229095,104.73039145229095
104.73402145229093,104.73402145229093
104.77485645229093,104.77485645229093
105.02590645229094,105.02590645229094
105.78424895229094,105.78424895229094
105.78452145229093,105.78452145229093
106.45887895229095,106.45887895229095
106.45906145229094,106.45906145229094
108.41054645229093,108.41054645229093
108.41069145229093,108.41069145229093
108.91568145229094,108.91568145229094
109.37575145229094,109.37575145229094
109.38793645229094,109.38793645229094
109.40233645229094,109.40233645229094
109.40618145229094,109.40618145229094
110.22088645229094,110.22088645229094
110.22107645229093,110.22107645229093
111.86360645229094,111.86360645229094
111.86550395229094,111.86550395229094
111.86563645229094,111.86563645229094
111.86707645229095,111.86707645229095
111.86756145229094,111.86756145229094
111.86775645229093,111.86775645229093
112.06828895229094,112.06828895229094
112.06849145229094,112.06849145229094
112.57867145229093,112.57867145229093
112.57885645229095,112.57885645229095
113.12085145229094,113.12085145229094
113.15014645229094,113.15014645229094
113.15037645229094,113.15037645229094
113.15082645229094,113.15082645229094
113.15098145229095,113.15098145229095
113.15139645229094,113.15139645229094
113.15187645229094,113.15187645229094
113.15208645229094,113.15208645229094
113.15293645229093,113.15293645229093
113.15307645229093,113.15307645229093
113.15425395229093,113.15425395229093
113.15595645229094,113.15595645229094
113.73154145229094,113.73154145229094
113.73221645229094,113.73221645229094
113.73290645229093,113.73290645229093
113.73342645229094,113.73342645229094
113.73358645229094,113.73358645229094
113.73404145229094,113.73404145229094
113.73417645229094,113.73417645229094
113.73476145229094,113.73476145229094
113.73496395229094,113.73496395229094
113.73600645229094,113.73600645229094
113.73616645229095,113.73616645229095
113.99281645229094,113.99281645229094
114.70789145229094,114.70789145229094
114.71989645229094,114.71989645229094
116.78370145229094,116.78370145229094
118.70360145229094,118.70360145229094
118.70603645229093,118.70603645229093
119.04252645229093,119.04252645229093
120.27741645229094,120.27741645229094
120.27860645229094,120.27860645229094
120.28056145229094,120.28056145229094
120.28094395229094,120.28094395229094
122.22326145229094,122.22326145229094
122.40393645229094,122.40393645229094
122.40407395229093,122.40407395229093
122.89925145229094,122.89925145229094
124.05225645229093,124.05225645229093
125.25851895229094,125.25851895229094
125.25892645229094,125.25892645229094
125.66907645229094,125.66907645229094
125.66932145229094,125.66932145229094
125.66949645229094,125.66949645229094
125.67035145229093,125.67035145229093
125.67129145229094,125.67129145229094
125.67429645229093,125.67429645229093
125.67446645229094,125.67446645229094
125.78627645229093,125.78627645229093
128.41567645229094,128.41567645229094
128.62396145229093,128.62396145229093
128.62410645229093,128.62410645229093
128.62427145229094,128.62427145229094
128.62567895229094,128.62567895229094
128.62634645229093,128.62634645229093
128.62653395229094,128.62653395229094
129.12562145229091,129.12562145229091
129.12576645229095,129.12576645229095
130.50318645229095,130.50318645229095
130.50353145229093,130.50353145229093
130.50371645229094,130.50371645229094
130.50399645229092,130.50399645229092
130.57754645229093,130.57754645229093
131.35666145229092,131.35666145229092
134.45509645229095,134.45509645229095
135.59165145229093,135.59165145229093
135.75945645229095,135.75945645229095
135.75976645229093,135.75976645229093
136.02298645229095,136.02298645229095
136.86193645229093,136.86193645229093
137.34910145229094,137.34910145229094
138.68885645229093,138.68885645229093
140.62403645229094,140.62403645229094
141.09569645229095,141.09569645229095
141.36103645229093,141.36103645229093
141.36118645229095,141.36118645229095
141.63167645229092,141.63167645229092
141.63190645229093,141.63190645229093
142.63967645229093,142.63967645229093
142.64173645229093,142.64173645229093
142.64237145229094,142.64237145229094
142.64257895229093,142.64257895229093
142.64291395229094,142.64291395229094
142.64569145229095,142.64569145229095
143.14118895229095,143.14118895229095
143.14144395229093,143.14144395229093
143.14465145229093,143.14465145229093
146.11318895229093,146.11318895229093
148.04067145229092,148.04067145229092
148.04202645229094,148.04202645229094
148.04248145229093,148.04248145229093
148.53041645229095,148.53041645229095
150.01624645229094,150.01624645229094
150.01702145229095,150.01702145229095
150.01719645229093,150.01719645229093
150.03878145229092,150.03878145229092
150.04597395229095,150.04597395229095
151.38261645229093,151.38261645229093
151.38280645229094,151.38280645229094
154.69880645229094,154.69880645229094
154.70261645229093,154.70261645229093
154.70290145229094,154.70290145229094
154.70587645229094,154.70587645229094
154.75844145229095,154.75844145229095
154.75861645229094,154.75861645229094
154.76075645229096,154.76075645229096
155.04049645229094,155.04049645229094
155.04071145229094,155.04071145229094
155.37044145229095,155.37044145229095
155.37419645229093,155.37419645229093
155.37489645229093,155.37489645229093
155.37662645229094,155.37662645229094
155.37817645229094,155.37817645229094
155.45772395229093,155.45772395229093
155.70494645229093,155.70494645229093
155.70887645229095,155.70887645229095
155.71268645229094,155.71268645229094
156.04592645229093,156.04592645229093
156.52776145229095,156.52776145229095
158.1314314522909,158.1314314522909
158.70635145229093,158.70635145229093
160.03011645229094,160.03011645229094
160.03027645229093,160.03027645229093
160.03050145229096,160.03050145229096
160.03317645229095,160.03317645229095
160.03400895229092,160.03400895229092
160.03423395229092,160.03423395229092
160.03493645229094,160.03493645229094
160.03577645229095,160.03577645229095
160.14894645229091,160.14894645229091
